id,category,subCategory,product,subject,description,specialOfferPrice,specialPriceStart,specialPriceEnd,specialPriceActive,salePrice,listedPrice,quantity,rebate,inStock,manufactureModelNumber,barCode,pageLocator,active
,Electronics,TVs,"Samsung 50"" LED","Samsung 50"" LED","Samsung 50"" LED",501.99,6/10/13,8/10/13,y,450.99,599.99,50,,y,123456789,123456789,,y
,Electronics,TVs,"Smasung 60"" LCD","Smasung 60"" LCD","Smasung 60"" LCD",506.99,6/11/13,8/11/13,y,455.99,604.99,55,,y,123456799,123456799,,y
,Electronics,TVs,"LG 50"" HD LED","LG 50"" HD LED","LG 50"" HD LED",511.99,6/12/13,8/12/13,y,460.99,609.99,60,,y,123456809,123456809,,y
,Electronics,TVs,"LG 70"" HD LED","LG 70"" HD LED","LG 70"" HD LED",516.99,6/13/13,8/13/13,y,465.99,614.99,65,,y,123456819,123456819,,y
,Electronics,TVs,"Sony 55"" LCD","Sony 55"" LCD","Sony 55"" LCD",521.99,6/14/13,8/14/13,y,470.99,619.99,70,,y,123456829,123456829,,y
,Electronics,Laptops,"HP Pavilion 15""","HP Pavilion 15""","HP Pavilion 15""",526.99,6/15/13,8/15/13,y,475.99,624.99,75,,y,123456839,123456839,,y
,Electronics,Laptops,"HP Pavilion 17""","HP Pavilion 17""","HP Pavilion 17""",531.99,6/16/13,8/16/13,y,480.99,629.99,80,,y,123456849,123456849,,y
,Electronics,Laptops,"Sony Vaio 13""","Sony Vaio 13""","Sony Vaio 13""",536.99,6/17/13,8/17/13,y,485.99,634.99,85,,y,123456859,123456859,,y
,Electronics,Laptops,"Sony Vaio 15""","Sony Vaio 15""","Sony Vaio 15""",541.99,6/18/13,8/18/13,y,490.99,639.99,90,,y,123456869,123456869,,y
,Electronics,Laptops,"Toshiba Satellite 15""","Toshiba Satellite 15""","Toshiba Satellite 15""",546.99,6/19/13,8/19/13,y,495.99,644.99,95,,y,123456879,123456879,,y
,Electronics,Appliances,LG 30 cu. Refrigerator,LG 30 cu. Refrigerator,LG 30 cu. Refrigerator,551.99,6/20/13,8/20/13,y,500.99,649.99,100,,y,123456889,123456889,,y
,Electronics,Appliances,LG 35.5 cu. Refrigerator,LG 35.5 cu. Refrigerator,LG 35.5 cu. Refrigerator,556.99,6/21/13,8/21/13,y,505.99,654.99,105,,y,123456899,123456899,,y
,Electronics,Appliances,Samsung 30 cu. Refrigerator,Samsung 30 cu. Refrigerator,Samsung 30 cu. Refrigerator,561.99,6/22/13,8/22/13,y,510.99,659.99,110,,y,123456909,123456909,,y
