id,category,subCategory,product,subject,description,specialOfferPrice,specialPriceStart,specialPriceEnd,specialPriceActive,salePrice,listedPrice,quantity,rebate,inStock,manufactureModelNumber,barCode,pageLocator,active
1,Electronics,TVs,"Samsung 50"" LED","Samsung 50"" LED","Samsung 50"" LED",501.99,551.99,451.9,476.99,450.99,599.99,50,,y,123456789,123456789,,y
2,Electronics,TVs,"Smasung 60"" LCD","Smasung 60"" LCD","Smasung 60"" LCD",506.99,556.99,456.9,481.99,455.99,604.99,55,,y,123456799,123456799,,y
3,Electronics,TVs,"LG 50"" HD LED","LG 50"" HD LED","LG 50"" HD LED",511.99,561.99,461.9,486.99,460.99,609.99,60,,y,123456809,123456809,,y
4,Electronics,TVs,"LG 70"" HD LED","LG 70"" HD LED","LG 70"" HD LED",516.99,566.99,466.9,491.99,465.99,614.99,65,,y,123456819,123456819,,y
5,Electronics,TVs,"Sony 55"" LCD","Sony 55"" LCD","Sony 55"" LCD",521.99,571.99,471.9,496.99,470.99,619.99,70,,y,123456829,123456829,,y
6,Electronics,Laptops,"HP Pavilion 15""","HP Pavilion 15""","HP Pavilion 15""",526.99,576.99,476.9,501.99,475.99,624.99,75,,y,123456839,123456839,,y
7,Electronics,Laptops,"HP Pavilion 17""","HP Pavilion 17""","HP Pavilion 17""",531.99,581.99,481.9,506.99,480.99,629.99,80,,y,123456849,123456849,,y
8,Electronics,Laptops,"Sony Vaio 13""","Sony Vaio 13""","Sony Vaio 13""",536.99,586.99,486.9,511.99,485.99,634.99,85,,y,123456859,123456859,,y
9,Electronics,Laptops,"Sony Vaio 15""","Sony Vaio 15""","Sony Vaio 15""",541.99,591.99,491.9,516.99,490.99,639.99,90,,y,123456869,123456869,,y
10,Electronics,Laptops,"Toshiba Satellite 15""","Toshiba Satellite 15""","Toshiba Satellite 15""",546.99,596.99,496.9,521.99,495.99,644.99,95,,y,123456879,123456879,,y
11,Electronics,Appliances,LG 30 cu. Refrigerator,LG 30 cu. Refrigerator,LG 30 cu. Refrigerator,551.99,601.99,501.9,526.99,500.99,649.99,100,,y,123456889,123456889,,y
12,Electronics,Appliances,LG 35.5 cu. Refrigerator,LG 35.5 cu. Refrigerator,LG 35.5 cu. Refrigerator,556.99,606.99,506.9,531.99,505.99,654.99,105,,y,123456899,123456899,,y
13,Electronics,Appliances,Samsung 30 cu. Refrigerator,Samsung 30 cu. Refrigerator,Samsung 30 cu. Refrigerator,561.99,611.99,511.9,536.99,510.99,659.99,110,,y,123456909,123456909,,y
14,Electronics,Appliances,Samsung 32.5 cu. Refrigerator,Samsung 32.5 cu. Refrigerator,Samsung 32.5 cu. Refrigerator,566.99,616.99,516.9,541.99,515.99,664.99,115,,y,123456919,123456919,,y
15,Electronics,Appliances,Maytag 31.5 cu. Refrigerator,Maytag 31.5 cu. Refrigerator,Maytag 31.5 cu. Refrigerator,571.99,621.99,521.9,546.99,520.99,669.99,120,,y,123456929,123456929,,y
16,Mobile,iOS iPhone,iPhone 16gb,iPhone 16gb,iPhone 16gb,576.99,626.99,526.9,551.99,525.99,674.99,125,,y,123456939,123456939,,y
17,Mobile,iOS iPhone,iPhone 32gb,iPhone 32gb,iPhone 32gb,581.99,631.99,531.9,556.99,530.99,679.99,130,,y,123456949,123456949,,y
18,Mobile,iOS iPhone,iPhone 64gb,iPhone 64gb,iPhone 64gb,586.99,636.99,536.9,561.99,535.99,684.99,135,,y,123456959,123456959,,y
19,Mobile,iOS iPhone,iPhone 32gb Unlocked,iPhone 32gb Unlocked,iPhone 32gb Unlocked,591.99,641.99,541.9,566.99,540.99,689.99,140,,y,123456969,123456969,,y
20,Mobile,iOS iPhone,iPhone 64gb Unlocked,iPhone 64gb Unlocked,iPhone 64gb Unlocked,596.99,646.99,546.9,571.99,545.99,694.99,145,,y,123456979,123456979,,y
21,Mobile,iOS iPad,iPad 32gb,iPad 32gb,iPad 32gb,601.99,651.99,551.9,576.99,550.99,699.99,150,,y,123456989,123456989,,y
22,Mobile,iOS iPad,iPad 32gb AT&T,iPad 32gb AT&T,iPad 32gb AT&T,606.99,656.99,556.9,581.99,555.99,704.99,155,,y,123456999,123456999,,y
23,Mobile,iOS iPad,iPad 64gb,iPad 64gb,iPad 64gb,611.99,661.99,561.9,586.99,560.99,709.99,160,,y,123457009,123457009,,y
24,Mobile,iOS iPad,iPad 64gb AT&T,iPad 64gb AT&T,iPad 64gb AT&T,616.99,666.99,566.9,591.99,565.99,714.99,165,,y,123457019,123457019,,y
25,Mobile,iOS iPad,iPad 16gb,iPad 16gb,iPad 16gb,621.99,671.99,571.9,596.99,570.99,719.99,170,,y,123457029,123457029,,y
26,Mobile,Android Smartphone,HTC One,HTC One,HTC One,626.99,676.99,576.9,601.99,575.99,724.99,175,,y,123457039,123457039,,y
27,Mobile,Android Smartphone,Samsung Galaxy S4,Samsung Galaxy S4,Samsung Galaxy S4,631.99,681.99,581.9,606.99,580.99,729.99,180,,y,123457049,123457049,,y
28,Mobile,Android Smartphone,Samsung Galaxy S3,Samsung Galaxy S3,Samsung Galaxy S3,636.99,686.99,586.9,611.99,585.99,734.99,185,,y,123457059,123457059,,y
29,Mobile,Android Smartphone,Motorola HD Maxx,Motorola HD Maxx,Motorola HD Maxx,641.99,691.99,591.9,616.99,590.99,739.99,190,,y,123457069,123457069,,y
30,Mobile,Android Smartphone,LG Nexus 4,LG Nexus 4,LG Nexus 4,646.99,696.99,596.9,621.99,595.99,744.99,195,,y,123457079,123457079,,y
31,Mobile,Android Tablet,Samsung Tab 7.0,Samsung Tab 7.0,Samsung Tab 7.0,651.99,701.99,601.9,626.99,600.99,749.99,200,,y,123457089,123457089,,y
32,Mobile,Android Tablet,Samsung Tab 10.1,Samsung Tab 10.1,Samsung Tab 10.1,656.99,706.99,606.9,631.99,605.99,754.99,205,,y,123457099,123457099,,y
33,Mobile,Android Tablet,HTC One 10,HTC One 10,HTC One 10,661.99,711.99,611.9,636.99,610.99,759.99,210,,y,123457109,123457109,,y
34,Mobile,Android Tablet,Asus Nexus,Asus Nexus,Asus Nexus,666.99,716.99,616.9,641.99,615.99,764.99,215,,y,123457119,123457119,,y
35,Mobile,Android Tablet,LG Prime,LG Prime,LG Prime,671.99,721.99,621.9,646.99,620.99,769.99,220,,y,123457129,123457129,,y
36,Appliances,Dishwasher,Whirlpool 30 cu,Whirlpool 30 cu,Whirlpool 30 cu,676.99,726.99,626.9,651.99,625.99,774.99,225,,y,123457139,123457139,,y
37,Appliances,Dishwasher,Whirlpool 31.5 cu,Whirlpool 31.5 cu,Whirlpool 31.5 cu,681.99,731.99,631.9,656.99,630.99,779.99,230,,y,123457149,123457149,,y
38,Appliances,Dishwasher,Kenmore 33.5 cu,Kenmore 33.5 cu,Kenmore 33.5 cu,686.99,736.99,636.9,661.99,635.99,784.99,235,,y,123457159,123457159,,y
39,Appliances,Dishwasher,Kenmore 32.5 cu,Kenmore 32.5 cu,Kenmore 32.5 cu,691.99,741.99,641.9,666.99,640.99,789.99,240,,y,123457169,123457169,,y
40,Appliances,Dishwasher,Kenmore Elite 33.5 cu,Kenmore Elite 33.5 cu,Kenmore Elite 33.5 cu,696.99,746.99,646.9,671.99,645.99,794.99,245,,y,123457179,123457179,,y
41,Appliances,Washer,LG 30 cu,LG 30 cu,LG 30 cu,701.99,751.99,651.9,676.99,650.99,799.99,250,,y,123457189,123457189,,y
42,Appliances,Washer,LG 35.5 cu,LG 35.5 cu,LG 35.5 cu,706.99,756.99,656.9,681.99,655.99,804.99,255,,y,123457199,123457199,,y
43,Appliances,Washer,Samsung 30 co,Samsung 30 co,Samsung 30 co,711.99,761.99,661.9,686.99,660.99,809.99,260,,y,123457209,123457209,,y
44,Appliances,Washer,Samsung 39.5 cu,Samsung 39.5 cu,Samsung 39.5 cu,716.99,766.99,666.9,691.99,665.99,814.99,265,,y,123457219,123457219,,y
45,Appliances,Washer,Maytag 30 cu,Maytag 30 cu,Maytag 30 cu,721.99,771.99,671.9,696.99,670.99,819.99,270,,y,123457229,123457229,,y
46,Appliances,Dryer,Kenmore 40 cu,Kenmore 40 cu,Kenmore 40 cu,726.99,776.99,676.9,701.99,675.99,824.99,275,,y,123457239,123457239,,y
47,Appliances,Dryer,Kenmore 34.5 cu,Kenmore 34.5 cu,Kenmore 34.5 cu,731.99,781.99,681.9,706.99,680.99,829.99,280,,y,123457249,123457249,,y
48,Appliances,Dryer,Kenmore Elite 40 cu,Kenmore Elite 40 cu,Kenmore Elite 40 cu,736.99,786.99,686.9,711.99,685.99,834.99,285,,y,123457259,123457259,,y
49,Appliances,Dryer,Whirlpool 36.5 cu,Whirlpool 36.5 cu,Whirlpool 36.5 cu,741.99,791.99,691.9,716.99,690.99,839.99,290,,y,123457269,123457269,,y
50,Appliances,Dryer,Whirlpool 37.5 cu,Whirlpool 37.5 cu,Whirlpool 37.5 cu,746.99,796.99,696.9,721.99,695.99,844.99,295,,y,123457279,123457279,,y
